API Key,API кључ,
About,О,
Access Token,Приступни токен,
Authentication,Аутентификација,
Enabled,Омогућено,
Frappe Support,Frappe подршка,
Keyboard Shortcuts,Пречице на тастатури,
Production,Производња,
System Health,Стање система,
System Manager,Систем менаџер,
